region,subregion,country,RECIPIENT,ISO_A3
EUROPE,EUROPE,   Albania,71,ALB
EUROPE,EUROPE,   Belarus,86,BLR
EUROPE,EUROPE,   Bosnia-Herzegovina,64,BIH
EUROPE,EUROPE,   Croatia,62,HRV
EUROPE,EUROPE,   Kosovo,57,XKX
EUROPE,EUROPE,"   Macedonia, FYR",66,MKD
EUROPE,EUROPE,   Moldova,93,MDA
EUROPE,EUROPE,   Montenegro,65,MNE
EUROPE,EUROPE,   Serbia,63,SRB
EUROPE,EUROPE,   Turkey     ,55,TUR
EUROPE,EUROPE,   Ukraine,85,UKR
EUROPE,EUROPE,   States of ex-Yugoslavia unspecified,88,QYU
EUROPE,EUROPE,"   Europe, regional/multi-country",89,QSA
AFRICA,"AFRICA, NORTH OF SAHARA",   Algeria,130,DZA
AFRICA,"AFRICA, NORTH OF SAHARA",   Egypt,142,EGY
AFRICA,"AFRICA, NORTH OF SAHARA",   Libya,133,LBY
AFRICA,"AFRICA, NORTH OF SAHARA",   Morocco,136,MAR
AFRICA,"AFRICA, NORTH OF SAHARA",   Tunisia,139,TUN
AFRICA,"AFRICA, NORTH OF SAHARA","   North of Sahara, regional/multi-country",189,QMD
AFRICA,"AFRICA, SOUTH OF SAHARA",   Angola,225,AGO
AFRICA,"AFRICA, SOUTH OF SAHARA",   Benin,236,BEN
AFRICA,"AFRICA, SOUTH OF SAHARA",   Botswana,227,BWA
AFRICA,"AFRICA, SOUTH OF SAHARA",   Burkina Faso,287,BFA
AFRICA,"AFRICA, SOUTH OF SAHARA",   Burundi,228,BDI
AFRICA,"AFRICA, SOUTH OF SAHARA",   Cameroon,229,CMR
AFRICA,"AFRICA, SOUTH OF SAHARA",   Cape Verde,230,CPV
AFRICA,"AFRICA, SOUTH OF SAHARA",   Central African Republic,231,CAF
AFRICA,"AFRICA, SOUTH OF SAHARA",   Chad,232,TCD
AFRICA,"AFRICA, SOUTH OF SAHARA",   Comoros,233,COM
AFRICA,"AFRICA, SOUTH OF SAHARA","   Congo, Dem. Rep.",235,COD
AFRICA,"AFRICA, SOUTH OF SAHARA","   Congo, Rep.",234,COG
AFRICA,"AFRICA, SOUTH OF SAHARA",   Côte d'Ivoire,247,CIV
AFRICA,"AFRICA, SOUTH OF SAHARA",   Djibouti,274,DJI
AFRICA,"AFRICA, SOUTH OF SAHARA",   Equatorial Guinea ,245,GNQ
AFRICA,"AFRICA, SOUTH OF SAHARA",   Eritrea,271,ERI
AFRICA,"AFRICA, SOUTH OF SAHARA",   Ethiopia,238,ETH
AFRICA,"AFRICA, SOUTH OF SAHARA",   Gabon,239,GAB
AFRICA,"AFRICA, SOUTH OF SAHARA",   Gambia,240,GMB
AFRICA,"AFRICA, SOUTH OF SAHARA",   Ghana,241,GHA
AFRICA,"AFRICA, SOUTH OF SAHARA",   Guinea,243,GIN
AFRICA,"AFRICA, SOUTH OF SAHARA",   Guinea-Bissau,244,GNB
AFRICA,"AFRICA, SOUTH OF SAHARA",   Kenya ,248,KEN
AFRICA,"AFRICA, SOUTH OF SAHARA",   Lesotho,249,LSO
AFRICA,"AFRICA, SOUTH OF SAHARA",   Liberia,251,LBR
AFRICA,"AFRICA, SOUTH OF SAHARA",   Madagascar,252,MDG
AFRICA,"AFRICA, SOUTH OF SAHARA",   Malawi,253,MWI
AFRICA,"AFRICA, SOUTH OF SAHARA",   Mali,255,MLI
AFRICA,"AFRICA, SOUTH OF SAHARA",   Mauritania,256,MRT
AFRICA,"AFRICA, SOUTH OF SAHARA",   Mauritius,257,MUS
AFRICA,"AFRICA, SOUTH OF SAHARA",   Mayotte,258,MYT
AFRICA,"AFRICA, SOUTH OF SAHARA",   Mozambique,259,MOZ
AFRICA,"AFRICA, SOUTH OF SAHARA",   Namibia,275,NAM
AFRICA,"AFRICA, SOUTH OF SAHARA",   Niger,260,NER
AFRICA,"AFRICA, SOUTH OF SAHARA",   Nigeria,261,NGA
AFRICA,"AFRICA, SOUTH OF SAHARA",   Rwanda,266,RWA
AFRICA,"AFRICA, SOUTH OF SAHARA",   St.Helena,276,SHN
AFRICA,"AFRICA, SOUTH OF SAHARA",   Sao Tome & Principe,268,STP
AFRICA,"AFRICA, SOUTH OF SAHARA",   Senegal,269,SEN
AFRICA,"AFRICA, SOUTH OF SAHARA",   Seychelles,270,SYC
AFRICA,"AFRICA, SOUTH OF SAHARA",   Sierra Leone,272,SLE
AFRICA,"AFRICA, SOUTH OF SAHARA",   Somalia,273,SOM
AFRICA,"AFRICA, SOUTH OF SAHARA",   South Africa,218,ZAF
AFRICA,"AFRICA, SOUTH OF SAHARA",   Sudan,278,SDN
AFRICA,"AFRICA, SOUTH OF SAHARA",South Sudan,279,SSD
AFRICA,"AFRICA, SOUTH OF SAHARA",   Swaziland,280,SWZ
AFRICA,"AFRICA, SOUTH OF SAHARA",   Tanzania,282,TZA
AFRICA,"AFRICA, SOUTH OF SAHARA",   Togo,283,TGO
AFRICA,"AFRICA, SOUTH OF SAHARA",   Uganda,285,UGA
AFRICA,"AFRICA, SOUTH OF SAHARA",   Zambia,288,ZMB
AFRICA,"AFRICA, SOUTH OF SAHARA",   Zimbabwe,265,ZWE
AFRICA,"AFRICA, SOUTH OF SAHARA","   South of Sahara, regional/multi-country",289,QME
AFRICA,,"Africa, regional/multi-country",298,QMA
AMERICA,NORTH & CENTRAL AMERICA,   Anguilla,376,AIA
AMERICA,NORTH & CENTRAL AMERICA,   Antigua & Barbuda,377,ATG
AMERICA,NORTH & CENTRAL AMERICA,   Barbados,329,BRB
AMERICA,NORTH & CENTRAL AMERICA,   Belize,352,BLZ
AMERICA,NORTH & CENTRAL AMERICA,   Costa Rica,336,CRI
AMERICA,NORTH & CENTRAL AMERICA,   Cuba,338,CUB
AMERICA,NORTH & CENTRAL AMERICA,   Dominica,378,DMA
AMERICA,NORTH & CENTRAL AMERICA,   Dominican Republic,340,DOM
AMERICA,NORTH & CENTRAL AMERICA,   El Salvador,342,SLV
AMERICA,NORTH & CENTRAL AMERICA,   Grenada,381,GRD
AMERICA,NORTH & CENTRAL AMERICA,   Guatemala,347,GTM
AMERICA,NORTH & CENTRAL AMERICA,   Haiti,349,HTI
AMERICA,NORTH & CENTRAL AMERICA,   Honduras,351,HND
AMERICA,NORTH & CENTRAL AMERICA,   Jamaica,354,JAM
AMERICA,NORTH & CENTRAL AMERICA,   Mexico,358,MEX
AMERICA,NORTH & CENTRAL AMERICA,   Montserrat,385,MSR
AMERICA,NORTH & CENTRAL AMERICA,   Nicaragua,364,NIC
AMERICA,NORTH & CENTRAL AMERICA,   Panama,366,PAN
AMERICA,NORTH & CENTRAL AMERICA,   St.Kitts-Nevis,382,KNA
AMERICA,NORTH & CENTRAL AMERICA,   St.Lucia,383,LCA
AMERICA,NORTH & CENTRAL AMERICA,   St.Vincent & Grenadines,384,VCT
AMERICA,NORTH & CENTRAL AMERICA,   Trinidad & Tobago,375,TTO
AMERICA,NORTH & CENTRAL AMERICA,"   West Indies, regional/multi-country",380,QNB
AMERICA,NORTH & CENTRAL AMERICA,"   N.&C. America, regional/multi-country",389,QNC
AMERICA,SOUTH AMERICA,   Argentina,425,ARG
AMERICA,SOUTH AMERICA,   Bolivia,428,BOL
AMERICA,SOUTH AMERICA,   Brazil,431,BRA
AMERICA,SOUTH AMERICA,   Chile,434,CHL
AMERICA,SOUTH AMERICA,   Colombia,437,COL
AMERICA,SOUTH AMERICA,   Ecuador,440,ECU
AMERICA,SOUTH AMERICA,   Guyana,446,GUY
AMERICA,SOUTH AMERICA,   Paraguay,451,PRY
AMERICA,SOUTH AMERICA,   Peru,454,PER
AMERICA,SOUTH AMERICA,   Suriname,457,SUR
AMERICA,SOUTH AMERICA,   Uruguay,460,URY
AMERICA,SOUTH AMERICA,   Venezuela,463,VEN
AMERICA,SOUTH AMERICA,"   South America, regional/multi-country",489,QNE
AMERICA,,"America, regional/multi-country",498,QNA
ASIA,MIDDLE EAST ASIA,   Iran,540,IRN
ASIA,MIDDLE EAST ASIA,   Iraq,543,IRQ
ASIA,MIDDLE EAST ASIA,   Jordan,549,JOR
ASIA,MIDDLE EAST ASIA,   Lebanon,555,LBN
ASIA,MIDDLE EAST ASIA,   Oman,558,OMN
ASIA,MIDDLE EAST ASIA,   Palestinian admin. Areas,550,PSE
ASIA,MIDDLE EAST ASIA,   Syria,573,SYR
ASIA,MIDDLE EAST ASIA,   Yemen,580,YEM
ASIA,MIDDLE EAST ASIA,"   Middle East, regional/multi-country",589,QRE
ASIA,SOUTH & CENTRAL ASIA,   Afghanistan,625,AFG
ASIA,SOUTH & CENTRAL ASIA,   Armenia,610,ARM
ASIA,SOUTH & CENTRAL ASIA,   Azerbaijan,611,AZE
ASIA,SOUTH & CENTRAL ASIA,   Bangladesh,666,BGD
ASIA,SOUTH & CENTRAL ASIA,   Bhutan,630,BTN
ASIA,SOUTH & CENTRAL ASIA,   Georgia,612,GEO
ASIA,SOUTH & CENTRAL ASIA,   India ,645,IND
ASIA,SOUTH & CENTRAL ASIA,   Kazakhstan,613,KAZ
ASIA,SOUTH & CENTRAL ASIA,   Kyrgyz Rep.,614,KGZ
ASIA,SOUTH & CENTRAL ASIA,   Maldives,655,MDV
ASIA,SOUTH & CENTRAL ASIA,   Myanmar (Burma),635,MMR
ASIA,SOUTH & CENTRAL ASIA,   Nepal,660,NPL
ASIA,SOUTH & CENTRAL ASIA,   Pakistan,665,PAK
ASIA,SOUTH & CENTRAL ASIA,   Sri Lanka,640,LKA
ASIA,SOUTH & CENTRAL ASIA,   Tajikistan,615,TJK
ASIA,SOUTH & CENTRAL ASIA,   Turkmenistan,616,TKM
ASIA,SOUTH & CENTRAL ASIA,   Uzbekistan,617,UZB
ASIA,SOUTH & CENTRAL ASIA,"   Central Asia, regional/multi-country",619,QRS
ASIA,SOUTH & CENTRAL ASIA,"   South Asia, regional/multi-country",679,QRC
ASIA,SOUTH & CENTRAL ASIA,"   South & Central Asia, regional/multi-country",689,QRD
ASIA,FAR EAST ASIA,   Cambodia,728,KHM
ASIA,FAR EAST ASIA,   China,730,CHN
ASIA,FAR EAST ASIA,   Indonesia,738,IDN
ASIA,FAR EAST ASIA,"   Korea, Dem.",740,PRK
ASIA,FAR EAST ASIA,   Laos,745,LAO
ASIA,FAR EAST ASIA,   Malaysia,751,MYS
ASIA,FAR EAST ASIA,   Mongolia,753,MNG
ASIA,FAR EAST ASIA,   Philippines,755,PHL
ASIA,FAR EAST ASIA,   Thailand,764,THA
ASIA,FAR EAST ASIA,   Timor Leste,765,TLS
ASIA,FAR EAST ASIA,   Viet Nam,769,VNM
ASIA,FAR EAST ASIA,"   Far East Asia, regional/multi-country",789,QRB
ASIA,,"Asia, regional/multi-country",798,QRA
OCEANIA,OCEANIA,   Cook  Islands,831,COK
OCEANIA,OCEANIA,   Fiji,832,FJI
OCEANIA,OCEANIA,   Kiribati,836,KIR
OCEANIA,OCEANIA,   Marshall Islands,859,MHL
OCEANIA,OCEANIA,"   Micronesia, Fed. Sts.",860,FSM
OCEANIA,OCEANIA,   Nauru,845,NRU
OCEANIA,OCEANIA,   Niue,856,NIU
OCEANIA,OCEANIA,   Palau,861,PLW
OCEANIA,OCEANIA,   Papua New Guinea,862,PNG
OCEANIA,OCEANIA,   Samoa,880,WSM
OCEANIA,OCEANIA,   Solomon Islands,866,SLB
OCEANIA,OCEANIA,   Tokelau,868,TKL
OCEANIA,OCEANIA,   Tonga,870,TON
OCEANIA,OCEANIA,   Tuvalu,872,TUV
OCEANIA,OCEANIA,   Vanuatu,854,VUT
OCEANIA,OCEANIA,   Wallis & Futuna,876,WLF
OCEANIA,OCEANIA,"   Oceania, regional/multi-country",889,QTA
,,Developing countries unspecified,998,QZA
